view_radius	expert_view_radius	reached_near_optimal	avg_ep_length	train_steps	seed	start_time_str	lr	optimal
1.0	1.0	0.0	140.67	300000.0	1.0	2021-09-11_09-37-42		72.0
1.0	3.0	0.0	110.14	300000.0	9.0	2021-09-11_09-37-56		72.0
1.0	1.0	0.0	167.755	300000.0	0.0	2021-09-11_09-37-41		72.0
1.0	1.0	0.0	186.495	300000.0	8.0	2021-09-11_09-37-46		72.0
1.0	1.0	0.0	110.14	300000.0	9.0	2021-09-11_09-37-49		72.0
1.0	1.0	0.0	187.78	300000.0	5.0	2021-09-11_09-37-51		72.0
1.0	1.0	0.0	139.405	300000.0	12.0	2021-09-11_09-38-05		72.0
1.0	3.0	0.0	167.755	300000.0	0.0	2021-09-11_09-38-01		72.0
1.0	3.0	0.0	201.56	300000.0	7.0	2021-09-11_09-37-53		72.0
1.0	3.0	0.0	139.405	300000.0	12.0	2021-09-11_09-37-59		72.0
1.0	1.0	0.0	122.14	300000.0	14.0	2021-09-11_09-38-00		72.0
1.0	3.0	0.0	164.125	300000.0	22.0	2021-09-11_09-38-04		72.0
1.0	3.0	0.0	186.495	300000.0	8.0	2021-09-11_09-38-03		72.0
1.0	3.0	0.0	122.14	300000.0	14.0	2021-09-11_09-38-20		72.0
1.0	3.0	0.0	269.52	300000.0	6.0	2021-09-11_09-37-55		72.0
1.0	1.0	0.0	369.18	300000.0	4.0	2021-09-11_09-37-45		72.0
1.0	3.0	0.0	228.025	300000.0	20.0	2021-09-11_09-38-02		72.0
1.0	3.0	0.0	187.78	300000.0	5.0	2021-09-11_09-38-06		72.0
1.0	3.0	0.0	208.445	300000.0	19.0	2021-09-11_09-37-58		72.0
1.0	1.0	0.0	176.085	300000.0	15.0	2021-09-11_09-38-12		72.0
1.0	1.0	0.0	346.82	300000.0	10.0	2021-09-11_09-37-47		72.0
1.0	3.0	0.0	140.67	300000.0	1.0	2021-09-11_09-38-19		72.0
