view_radius	expert_view_radius	reached_near_optimal	avg_ep_length	train_steps	seed	start_time_str	lr	optimal
1.0	1.0	1.0	74.255	200000.0	20.0	2021-09-11_12-20-53		72.0
1.0	1.0	0.0	91.73	290000.0	2.0	2021-09-11_12-20-39		72.0
1.0	1.0	0.0	108.395	300000.0	1.0	2021-09-11_12-20-38		72.0
1.0	1.0	0.0	100.345	300000.0	17.0	2021-09-11_12-20-54		72.0
1.0	3.0	1.0	79.07	300000.0	20.0	2021-09-11_12-20-51		72.0
1.0	3.0	0.0	86.36	300000.0	2.0	2021-09-11_12-20-59		72.0
1.0	1.0	0.0	93.735	300000.0	16.0	2021-09-11_12-20-49		72.0
1.0	1.0	0.0	126.415	300000.0	10.0	2021-09-11_12-20-41		72.0
1.0	1.0	0.0	96.87	300000.0	13.0	2021-09-11_12-20-42		72.0
1.0	1.0	0.0	129.085	300000.0	5.0	2021-09-11_12-20-46		72.0
1.0	1.0	0.0	92.69	300000.0	23.0	2021-09-11_12-20-58		72.0
1.0	1.0	0.0	96.155	300000.0	15.0	2021-09-11_12-20-47		72.0
1.0	1.0	0.0	134.32	300000.0	4.0	2021-09-11_12-20-43		72.0
1.0	1.0	0.0	181.49	300000.0	8.0	2021-09-11_12-20-45		72.0
1.0	3.0	0.0	93.11	300000.0	21.0	2021-09-11_12-20-52		72.0
1.0	1.0	0.0	110.56	300000.0	6.0	2021-09-11_12-20-44		72.0
1.0	3.0	0.0	125.445	300000.0	18.0	2021-09-11_12-20-48		72.0
1.0	1.0	0.0	194.435	300000.0	19.0	2021-09-11_12-20-55		72.0
1.0	1.0	0.0	215.98	300000.0	7.0	2021-09-11_12-20-40		72.0
1.0	3.0	0.0	127.995	300000.0	14.0	2021-09-11_12-20-50		72.0
1.0	3.0	0.0	118.13	300000.0	13.0	2021-09-11_12-21-06		72.0
1.0	1.0	0.0	111.43	300000.0	18.0	2021-09-11_12-21-01		72.0
1.0	1.0	0.0	142.25	300000.0	12.0	2021-09-11_12-21-03		72.0
1.0	1.0	0.0	153.07	300000.0	21.0	2021-09-11_12-21-00		72.0
1.0	3.0	0.0	83.255	300000.0	15.0	2021-09-11_12-21-12		72.0
1.0	3.0	0.0	194.15	300000.0	11.0	2021-09-11_12-20-56		72.0
1.0	1.0	0.0	121.32	300000.0	11.0	2021-09-11_12-21-07		72.0
1.0	3.0	0.0	104.24	300000.0	1.0	2021-09-11_12-21-05		72.0
1.0	3.0	0.0	93.325	300000.0	6.0	2021-09-11_12-21-20		72.0
1.0	3.0	0.0	98.53	300000.0	3.0	2021-09-11_12-21-24		72.0
1.0	3.0	0.0	97.32	300000.0	7.0	2021-09-11_12-21-23		72.0
1.0	3.0	0.0	91.37	300000.0	9.0	2021-09-11_12-21-14		72.0
1.0	3.0	0.0	93.585	300000.0	22.0	2021-09-11_12-21-16		72.0
1.0	1.0	0.0	169.205	300000.0	24.0	2021-09-11_12-21-09		72.0
1.0	3.0	0.0	190.83	300000.0	8.0	2021-09-11_12-21-02		72.0
1.0	3.0	0.0	96.91	300000.0	16.0	2021-09-11_12-21-21		72.0
1.0	1.0	0.0	85.205	300000.0	9.0	2021-09-11_12-21-22		72.0
1.0	3.0	0.0	118.92	300000.0	4.0	2021-09-11_12-21-15		72.0
1.0	3.0	0.0	167.88	300000.0	19.0	2021-09-11_12-21-18		72.0
1.0	1.0	0.0	105.58	300000.0	3.0	2021-09-11_12-21-17		72.0
1.0	3.0	0.0	95.615	300000.0	17.0	2021-09-11_12-21-11		72.0
1.0	3.0	0.0	167.455	300000.0	12.0	2021-09-11_12-21-19		72.0
1.0	3.0	0.0	155.525	300000.0	5.0	2021-09-11_12-21-04		72.0
1.0	1.0	0.0	359.2	300000.0	0.0	2021-09-11_12-20-37		72.0
1.0	1.0	0.0	246.64	300000.0	14.0	2021-09-11_12-21-10		72.0
1.0	3.0	0.0	341.7	300000.0	10.0	2021-09-11_12-20-57		72.0
