view_radius	expert_view_radius	reached_near_optimal	avg_ep_length	train_steps	seed	start_time_str	lr	optimal
1.0	1.0	1.0	70.745	300000.0	6.0	2021-09-10_20-56-24		72.0
1.0	1.0	1.0	70.755	300000.0	10.0	2021-09-10_20-56-22		72.0
1.0	1.0	1.0	70.745	300000.0	4.0	2021-09-10_20-56-25		72.0
1.0	1.0	1.0	70.735	300000.0	7.0	2021-09-10_20-56-21		72.0
1.0	1.0	1.0	70.725	300000.0	0.0	2021-09-10_20-56-17		72.0
1.0	1.0	1.0	70.745	300000.0	13.0	2021-09-10_20-56-23		72.0
1.0	1.0	1.0	70.735	300000.0	1.0	2021-09-10_20-56-18		72.0
1.0	1.0	1.0	70.745	300000.0	2.0	2021-09-10_20-56-19		72.0
1.0	1.0	1.0	70.755	300000.0	3.0	2021-09-10_20-56-20		72.0
1.0	1.0	1.0	70.755	300000.0	5.0	2021-09-10_20-56-27		72.0
1.0	1.0	1.0	70.745	300000.0	8.0	2021-09-10_20-56-26		72.0
1.0	1.0	1.0	70.755	300000.0	11.0	2021-09-10_20-56-34		72.0
1.0	1.0	1.0	70.745	300000.0	15.0	2021-09-10_20-56-39		72.0
1.0	1.0	1.0	70.73	300000.0	23.0	2021-09-10_20-56-32		72.0
1.0	1.0	1.0	70.73	300000.0	22.0	2021-09-10_20-56-40		72.0
1.0	1.0	1.0	70.755	300000.0	12.0	2021-09-10_20-56-45		72.0
1.0	1.0	1.0	70.755	300000.0	21.0	2021-09-10_20-56-38		72.0
1.0	1.0	1.0	70.735	300000.0	20.0	2021-09-10_20-56-43		72.0
1.0	1.0	1.0	70.755	300000.0	14.0	2021-09-10_20-56-42		72.0
1.0	1.0	1.0	70.73	300000.0	16.0	2021-09-10_20-56-52		72.0
1.0	1.0	1.0	70.745	300000.0	18.0	2021-09-10_20-56-46		72.0
1.0	1.0	1.0	70.735	300000.0	24.0	2021-09-10_20-57-00		72.0
1.0	1.0	1.0	70.745	300000.0	19.0	2021-09-10_20-56-53		72.0
1.0	1.0	1.0	70.745	300000.0	17.0	2021-09-10_20-57-01		72.0
1.0	1.0	1.0	70.755	300000.0	9.0	2021-09-10_20-57-02		72.0
1.0	3.0	0.0	568.72	300000.0	2.0	2021-09-10_20-56-28		72.0
1.0	3.0	0.0	552.17	300000.0	6.0	2021-09-10_20-56-29		72.0
1.0	3.0	0.0	533.345	300000.0	5.0	2021-09-10_20-56-41		72.0
1.0	3.0	0.0	541.4	300000.0	10.0	2021-09-10_20-56-33		72.0
1.0	3.0	0.0	534.12	300000.0	15.0	2021-09-10_20-56-30		72.0
1.0	3.0	0.0	533.55	300000.0	12.0	2021-09-10_20-56-35		72.0
1.0	3.0	0.0	574.035	300000.0	18.0	2021-09-10_20-56-31		72.0
1.0	3.0	0.0	539.615	300000.0	9.0	2021-09-10_20-56-36		72.0
1.0	3.0	0.0	562.11	300000.0	14.0	2021-09-10_20-56-37		72.0
1.0	3.0	0.0	562.8	300000.0	7.0	2021-09-10_20-56-48		72.0
1.0	3.0	0.0	537.29	300000.0	0.0	2021-09-10_20-56-50		72.0
1.0	3.0	0.0	545.585	300000.0	19.0	2021-09-10_20-56-47		72.0
1.0	3.0	0.0	551.175	300000.0	13.0	2021-09-10_20-56-49		72.0
1.0	3.0	0.0	560.475	300000.0	22.0	2021-09-10_20-56-44		72.0
1.0	3.0	0.0	539.605	300000.0	3.0	2021-09-10_20-56-54		72.0
1.0	3.0	0.0	543.015	300000.0	20.0	2021-09-10_20-56-59		72.0
1.0	3.0	0.0	567.16	300000.0	4.0	2021-09-10_20-56-56		72.0
