view_radius	expert_view_radius	reached_near_optimal	avg_ep_length	train_steps	seed	start_time_str	lr	optimal
1.0	1.0	1.0	78.785	70000.0	11.0	2021-09-10_16-10-43		72.0
1.0	1.0	1.0	73.105	90000.0	0.0	2021-09-10_16-10-30		72.0
1.0	1.0	1.0	74.09	100000.0	6.0	2021-09-10_16-10-37		72.0
1.0	1.0	1.0	72.785	100000.0	5.0	2021-09-10_16-10-33		72.0
1.0	1.0	1.0	72.21	100000.0	23.0	2021-09-10_16-10-47		72.0
1.0	1.0	1.0	72.775	110000.0	10.0	2021-09-10_16-10-35		72.0
1.0	1.0	1.0	76.7	100000.0	21.0	2021-09-10_16-10-46		72.0
1.0	1.0	1.0	73.985	110000.0	17.0	2021-09-10_16-10-36		72.0
1.0	1.0	1.0	77.73	110000.0	2.0	2021-09-10_16-10-40		72.0
1.0	1.0	1.0	77.66	100000.0	22.0	2021-09-10_16-10-50		72.0
1.0	1.0	1.0	72.145	120000.0	9.0	2021-09-10_16-10-34		72.0
1.0	1.0	1.0	72.54	100000.0	24.0	2021-09-10_16-10-54		72.0
1.0	1.0	1.0	71.865	110000.0	15.0	2021-09-10_16-10-45		72.0
1.0	1.0	1.0	71.995	100000.0	16.0	2021-09-10_16-11-01		72.0
1.0	1.0	1.0	71.66	100000.0	7.0	2021-09-10_16-11-02		72.0
1.0	1.0	1.0	77.435	120000.0	4.0	2021-09-10_16-10-32		72.0
1.0	1.0	1.0	72.58	100000.0	14.0	2021-09-10_16-11-06		72.0
1.0	1.0	1.0	72.78	100000.0	19.0	2021-09-10_16-11-12		72.0
1.0	1.0	1.0	72.04	110000.0	18.0	2021-09-10_16-11-05		72.0
1.0	1.0	1.0	71.6	140000.0	3.0	2021-09-10_16-10-39		72.0
1.0	1.0	1.0	72.64	140000.0	12.0	2021-09-10_16-10-38		72.0
1.0	1.0	1.0	77.25	110000.0	13.0	2021-09-10_16-11-14		72.0
1.0	1.0	1.0	72.265	120000.0	20.0	2021-09-10_16-11-03		72.0
1.0	1.0	1.0	72.39	150000.0	1.0	2021-09-10_16-10-31		72.0
1.0	1.0	1.0	72.15	140000.0	8.0	2021-09-10_16-11-00		72.0
1.0	3.0	0.0	84.545	210000.0	18.0	2021-09-10_16-11-15		72.0
1.0	3.0	1.0	78.25	250000.0	8.0	2021-09-10_16-10-48		72.0
1.0	3.0	1.0	77.695	240000.0	3.0	2021-09-10_16-11-13		72.0
1.0	3.0	1.0	78.41	280000.0	1.0	2021-09-10_16-10-53		72.0
1.0	3.0	0.0	83.305	300000.0	6.0	2021-09-10_16-10-41		72.0
1.0	3.0	1.0	78.67	300000.0	12.0	2021-09-10_16-10-42		72.0
1.0	3.0	0.0	83.72	300000.0	0.0	2021-09-10_16-10-44		72.0
1.0	3.0	0.0	82.16	300000.0	14.0	2021-09-10_16-10-52		72.0
1.0	3.0	0.0	81.295	300000.0	4.0	2021-09-10_16-10-49		72.0
1.0	3.0	0.0	83.74	300000.0	16.0	2021-09-10_16-10-56		72.0
1.0	3.0	0.0	87.56	300000.0	10.0	2021-09-10_16-10-51		72.0
1.0	3.0	0.0	85.115	300000.0	13.0	2021-09-10_16-10-55		72.0
1.0	3.0	0.0	89.175	300000.0	20.0	2021-09-10_16-10-59		72.0
1.0	3.0	1.0	78.615	290000.0	9.0	2021-09-10_16-11-11		72.0
1.0	3.0	0.0	82.955	300000.0	19.0	2021-09-10_16-10-57		72.0
1.0	3.0	0.0	84.375	300000.0	22.0	2021-09-10_16-11-04		72.0
1.0	3.0	0.0	79.885	300000.0	15.0	2021-09-10_16-10-58		72.0
1.0	3.0	0.0	84.445	300000.0	5.0	2021-09-10_16-11-08		72.0
1.0	3.0	0.0	81.56	300000.0	21.0	2021-09-10_16-11-09		72.0
1.0	3.0	0.0	81.5	300000.0	11.0	2021-09-10_16-11-17		72.0
1.0	3.0	0.0	79.22	300000.0	7.0	2021-09-10_16-11-16		72.0
1.0	3.0	0.0	82.555	300000.0	17.0	2021-09-10_16-11-07		72.0
1.0	3.0	0.0	87.335	300000.0	2.0	2021-09-10_16-11-10		72.0
1.0	3.0	0.0	85.645	300000.0	23.0	2021-09-10_16-13-23		72.0
1.0	3.0	1.0	78.575	300000.0	24.0	2021-09-10_16-13-39		72.0
1.0	5.0	1.0	75.9	270000.0	7.0	2021-09-10_16-14-21		72.0
1.0	5.0	0.0	79.995	300000.0	0.0	2021-09-10_16-13-55		72.0
1.0	5.0	0.0	81.885	300000.0	1.0	2021-09-10_16-13-59		72.0
1.0	5.0	0.0	82.465	300000.0	2.0	2021-09-10_16-14-06		72.0
1.0	5.0	0.0	84.235	300000.0	3.0	2021-09-10_16-14-10		72.0
1.0	5.0	0.0	84.395	300000.0	4.0	2021-09-10_16-14-14		72.0
1.0	5.0	0.0	79.955	300000.0	5.0	2021-09-10_16-14-15		72.0
1.0	5.0	0.0	81.445	300000.0	11.0	2021-09-10_16-14-25		72.0
1.0	5.0	1.0	74.78	300000.0	8.0	2021-09-10_16-14-23		72.0
1.0	5.0	0.0	83.685	300000.0	6.0	2021-09-10_16-14-19		72.0
1.0	5.0	0.0	83.585	300000.0	10.0	2021-09-10_16-14-24		72.0
1.0	5.0	0.0	83.92	300000.0	9.0	2021-09-10_16-14-22		72.0
1.0	5.0	0.0	83.495	300000.0	12.0	2021-09-10_16-14-29		72.0
1.0	5.0	0.0	95.28	300000.0	13.0	2021-09-10_16-14-31		72.0
1.0	5.0	1.0	76.87	300000.0	14.0	2021-09-10_16-14-32		72.0
1.0	5.0	0.0	126.135	300000.0	15.0	2021-09-10_16-14-36		72.0
1.0	5.0	0.0	82.895	300000.0	16.0	2021-09-10_16-14-48		72.0
1.0	5.0	0.0	84.355	300000.0	18.0	2021-09-10_16-14-58		72.0
1.0	5.0	0.0	79.315	300000.0	20.0	2021-09-10_16-15-01		72.0
1.0	5.0	1.0	78.58	300000.0	19.0	2021-09-10_16-15-00		72.0
1.0	5.0	0.0	85.205	300000.0	17.0	2021-09-10_16-14-57		72.0
1.0	5.0	1.0	77.985	300000.0	21.0	2021-09-10_16-15-08		72.0
1.0	5.0	0.0	89.775	300000.0	22.0	2021-09-10_16-15-17		72.0
1.0	5.0	0.0	79.665	300000.0	23.0	2021-09-10_16-17-12		72.0
1.0	5.0	0.0	83.84	300000.0	24.0	2021-09-10_16-17-42		72.0
1.0	7.0	0.0	92.37	300000.0	0.0	2021-09-10_16-17-53		72.0
1.0	7.0	0.0	83.91	300000.0	1.0	2021-09-10_16-18-28		72.0
1.0	7.0	1.0	78.65	300000.0	2.0	2021-09-10_16-18-38		72.0
1.0	7.0	0.0	92.74	300000.0	4.0	2021-09-10_16-18-48		72.0
1.0	7.0	0.0	83.96	300000.0	3.0	2021-09-10_16-18-47		72.0
1.0	7.0	0.0	82.93	300000.0	7.0	2021-09-10_16-18-59		72.0
1.0	7.0	0.0	85.545	300000.0	6.0	2021-09-10_16-18-58		72.0
1.0	7.0	0.0	89.43	300000.0	9.0	2021-09-10_16-19-02		72.0
1.0	7.0	0.0	88.31	300000.0	8.0	2021-09-10_16-19-01		72.0
1.0	7.0	0.0	136.83	300000.0	5.0	2021-09-10_16-18-55		72.0
1.0	7.0	0.0	84.64	300000.0	13.0	2021-09-10_16-19-12		72.0
1.0	7.0	0.0	114.885	300000.0	11.0	2021-09-10_16-19-05		72.0
1.0	7.0	0.0	87.435	300000.0	12.0	2021-09-10_16-19-08		72.0
1.0	7.0	0.0	82.42	300000.0	15.0	2021-09-10_16-19-17		72.0
1.0	7.0	0.0	119.065	300000.0	10.0	2021-09-10_16-19-04		72.0
1.0	7.0	0.0	93.8	300000.0	16.0	2021-09-10_16-19-20		72.0
1.0	7.0	0.0	86.305	300000.0	14.0	2021-09-10_16-19-16		72.0
1.0	7.0	0.0	85.665	300000.0	18.0	2021-09-10_16-19-23		72.0
1.0	7.0	0.0	92.795	300000.0	17.0	2021-09-10_16-19-22		72.0
1.0	7.0	0.0	85.235	300000.0	19.0	2021-09-10_16-19-24		72.0
1.0	7.0	0.0	123.945	300000.0	20.0	2021-09-10_16-19-25		72.0
1.0	7.0	0.0	125.49	300000.0	21.0	2021-09-10_16-21-34		72.0
1.0	7.0	0.0	130.925	300000.0	23.0	2021-09-10_16-21-47		72.0
1.0	9.0	0.0	101.295	300000.0	0.0	2021-09-10_16-22-01		72.0
1.0	9.0	0.0	88.84	300000.0	2.0	2021-09-10_16-22-11		72.0
1.0	7.0	0.0	115.1	300000.0	24.0	2021-09-10_16-22-00		72.0
1.0	9.0	0.0	119.035	300000.0	3.0	2021-09-10_16-22-14		72.0
1.0	9.0	0.0	85.87	300000.0	4.0	2021-09-10_16-22-17		72.0
1.0	9.0	0.0	118.73	300000.0	5.0	2021-09-10_16-22-23		72.0
1.0	9.0	0.0	137.325	300000.0	1.0	2021-09-10_16-22-04		72.0
1.0	9.0	0.0	90.21	300000.0	7.0	2021-09-10_16-22-28		72.0
1.0	9.0	0.0	115.795	300000.0	6.0	2021-09-10_16-22-25		72.0
1.0	9.0	0.0	123.455	300000.0	8.0	2021-09-10_16-22-32		72.0
1.0	9.0	0.0	124.665	300000.0	9.0	2021-09-10_16-22-33		72.0
1.0	9.0	0.0	107.325	300000.0	11.0	2021-09-10_16-22-45		72.0
1.0	9.0	0.0	85.555	300000.0	13.0	2021-09-10_16-22-49		72.0
1.0	9.0	0.0	87.255	300000.0	14.0	2021-09-10_16-22-50		72.0
1.0	9.0	0.0	95.2	300000.0	12.0	2021-09-10_16-22-47		72.0
1.0	9.0	0.0	128.605	300000.0	10.0	2021-09-10_16-22-41		72.0
1.0	9.0	0.0	90.755	300000.0	16.0	2021-09-10_16-23-05		72.0
1.0	9.0	0.0	116.495	300000.0	15.0	2021-09-10_16-22-59		72.0
1.0	9.0	0.0	83.395	300000.0	18.0	2021-09-10_16-23-09		72.0
1.0	9.0	0.0	94.965	300000.0	17.0	2021-09-10_16-23-08		72.0
1.0	9.0	0.0	91.91	300000.0	20.0	2021-09-10_16-23-22		72.0
1.0	9.0	0.0	90.8	300000.0	19.0	2021-09-10_16-23-12		72.0
1.0	7.0	0.0	565.62	300000.0	22.0	2021-09-10_16-21-37		72.0
1.0	9.0	0.0	84.545	300000.0	21.0	2021-09-10_16-25-11		72.0
1.0	9.0	0.0	131.695	300000.0	22.0	2021-09-10_16-25-38		72.0
1.0	9.0	0.0	83.99	300000.0	23.0	2021-09-10_16-25-57		72.0
1.0	9.0	0.0	126.7	300000.0	24.0	2021-09-10_16-26-26		72.0
1.0	11.0	0.0	108.52	300000.0	0.0	2021-09-10_16-26-39		72.0
1.0	11.0	0.0	99.455	300000.0	1.0	2021-09-10_16-26-50		72.0
1.0	11.0	0.0	81.195	300000.0	2.0	2021-09-10_16-26-55		72.0
1.0	11.0	0.0	104.37	300000.0	3.0	2021-09-10_16-26-56		72.0
1.0	11.0	0.0	84.01	300000.0	4.0	2021-09-10_16-27-00		72.0
1.0	11.0	0.0	114.715	300000.0	7.0	2021-09-10_16-27-08		72.0
1.0	11.0	0.0	97.255	300000.0	9.0	2021-09-10_16-27-14		72.0
1.0	11.0	0.0	132.49	300000.0	6.0	2021-09-10_16-27-02		72.0
1.0	11.0	0.0	130.99	300000.0	5.0	2021-09-10_16-27-01		72.0
1.0	11.0	0.0	88.88	300000.0	11.0	2021-09-10_16-27-17		72.0
1.0	11.0	0.0	134.11	300000.0	10.0	2021-09-10_16-27-15		72.0
1.0	11.0	0.0	94.405	300000.0	14.0	2021-09-10_16-27-21		72.0
1.0	11.0	0.0	96.92	300000.0	8.0	2021-09-10_16-27-12		72.0
1.0	11.0	0.0	96.67	300000.0	12.0	2021-09-10_16-27-19		72.0
1.0	11.0	0.0	99.155	300000.0	16.0	2021-09-10_16-27-29		72.0
1.0	11.0	0.0	90.94	300000.0	15.0	2021-09-10_16-27-28		72.0
1.0	11.0	0.0	91.885	300000.0	17.0	2021-09-10_16-27-30		72.0
1.0	11.0	0.0	120.725	300000.0	13.0	2021-09-10_16-27-20		72.0
1.0	11.0	0.0	134.235	300000.0	18.0	2021-09-10_16-27-36		72.0
1.0	11.0	0.0	123.3	300000.0	19.0	2021-09-10_16-29-43		72.0
1.0	11.0	0.0	95.75	300000.0	21.0	2021-09-10_16-30-01		72.0
1.0	11.0	0.0	84.295	300000.0	20.0	2021-09-10_16-29-59		72.0
1.0	11.0	0.0	93.855	300000.0	22.0	2021-09-10_16-30-07		72.0
1.0	11.0	0.0	90.835	300000.0	24.0	2021-09-10_16-30-16		72.0
1.0	13.0	0.0	91.69	300000.0	1.0	2021-09-10_16-30-26		72.0
1.0	11.0	0.0	140.255	300000.0	23.0	2021-09-10_16-30-09		72.0
1.0	13.0	0.0	85.05	300000.0	3.0	2021-09-10_16-30-33		72.0
1.0	13.0	0.0	82.525	300000.0	2.0	2021-09-10_16-30-32		72.0
1.0	13.0	0.0	162.39	300000.0	0.0	2021-09-10_16-30-23		72.0
1.0	13.0	0.0	109.95	300000.0	4.0	2021-09-10_16-30-34		72.0
1.0	13.0	0.0	85.52	300000.0	5.0	2021-09-10_16-30-41		72.0
