view_radius	expert_view_radius	reached_near_optimal	avg_ep_length	train_steps	seed	start_time_str	lr	optimal
1.0	1.0	1.0	71.925	170000.0	2.0	2021-09-11_00-02-52		72.0
1.0	1.0	1.0	72.24	170000.0	1.0	2021-09-11_00-02-51		72.0
1.0	1.0	1.0	76.35	170000.0	3.0	2021-09-11_00-02-54		72.0
1.0	1.0	1.0	71.87	160000.0	7.0	2021-09-11_00-03-09		72.0
1.0	1.0	1.0	76.295	170000.0	18.0	2021-09-11_00-02-57		72.0
1.0	1.0	1.0	76.3	170000.0	16.0	2021-09-11_00-02-58		72.0
1.0	1.0	0.0	80.98	160000.0	15.0	2021-09-11_00-03-12		72.0
1.0	1.0	1.0	72.78	180000.0	0.0	2021-09-11_00-02-50		72.0
1.0	1.0	0.0	81.44	160000.0	8.0	2021-09-11_00-03-22		72.0
1.0	1.0	1.0	72.305	180000.0	21.0	2021-09-11_00-03-02		72.0
1.0	1.0	0.0	81.485	180000.0	24.0	2021-09-11_00-03-01		72.0
1.0	1.0	1.0	71.79	170000.0	23.0	2021-09-11_00-03-18		72.0
1.0	1.0	1.0	76.735	160000.0	19.0	2021-09-11_00-03-24		72.0
1.0	1.0	1.0	72.875	170000.0	17.0	2021-09-11_00-03-15		72.0
1.0	1.0	0.0	80.68	160000.0	5.0	2021-09-11_00-03-21		72.0
1.0	1.0	1.0	71.86	170000.0	10.0	2021-09-11_00-03-29		72.0
1.0	1.0	1.0	71.76	190000.0	20.0	2021-09-11_00-03-11		72.0
1.0	1.0	1.0	72.125	190000.0	22.0	2021-09-11_00-03-19		72.0
1.0	1.0	0.0	81.475	200000.0	4.0	2021-09-11_00-02-59		72.0
1.0	1.0	1.0	72.62	210000.0	12.0	2021-09-11_00-02-55		72.0
1.0	1.0	1.0	71.79	210000.0	9.0	2021-09-11_00-03-00		72.0
1.0	1.0	1.0	71.695	210000.0	6.0	2021-09-11_00-02-53		72.0
1.0	1.0	1.0	76.75	200000.0	13.0	2021-09-11_00-03-07		72.0
1.0	1.0	1.0	76.885	200000.0	14.0	2021-09-11_00-03-28		72.0
1.0	1.0	1.0	71.79	240000.0	11.0	2021-09-11_00-02-56		72.0
1.0	3.0	1.0	79.1	220000.0	5.0	2021-09-11_00-03-20		72.0
1.0	3.0	1.0	76.445	240000.0	22.0	2021-09-11_00-03-17		72.0
1.0	3.0	1.0	77.93	240000.0	0.0	2021-09-11_00-03-27		72.0
1.0	3.0	1.0	72.915	270000.0	3.0	2021-09-11_00-03-06		72.0
1.0	3.0	0.0	81.09	270000.0	17.0	2021-09-11_00-03-05		72.0
1.0	3.0	1.0	75.665	270000.0	8.0	2021-09-11_00-03-34		72.0
1.0	3.0	1.0	74.27	300000.0	10.0	2021-09-11_00-03-10		72.0
1.0	3.0	1.0	77.69	300000.0	12.0	2021-09-11_00-03-04		72.0
1.0	3.0	0.0	80.48	300000.0	6.0	2021-09-11_00-03-03		72.0
1.0	3.0	1.0	78.735	300000.0	21.0	2021-09-11_00-03-08		72.0
1.0	3.0	1.0	74.48	280000.0	16.0	2021-09-11_00-03-35		72.0
1.0	3.0	1.0	76.32	300000.0	19.0	2021-09-11_00-03-13		72.0
1.0	3.0	0.0	88.835	300000.0	1.0	2021-09-11_00-03-14		72.0
1.0	3.0	0.0	81.185	300000.0	20.0	2021-09-11_00-03-16		72.0
1.0	3.0	0.0	81.355	300000.0	9.0	2021-09-11_00-03-23		72.0
1.0	3.0	1.0	78.57	300000.0	7.0	2021-09-11_00-03-26		72.0
1.0	3.0	1.0	73.94	300000.0	14.0	2021-09-11_00-03-31		72.0
1.0	3.0	0.0	80.375	300000.0	13.0	2021-09-11_00-03-25		72.0
1.0	3.0	0.0	100.335	300000.0	2.0	2021-09-11_00-03-30		72.0
1.0	3.0	0.0	80.84	300000.0	18.0	2021-09-11_00-03-36		72.0
1.0	3.0	0.0	87.555	300000.0	15.0	2021-09-11_00-03-37		72.0
1.0	3.0	0.0	84.58	300000.0	4.0	2021-09-11_00-03-33		72.0
1.0	3.0	0.0	94.26	300000.0	11.0	2021-09-11_00-03-32		72.0
1.0	5.0	0.0	81.945	230000.0	10.0	2021-09-11_00-08-26		72.0
1.0	5.0	0.0	86.305	240000.0	5.0	2021-09-11_00-08-11		72.0
1.0	5.0	0.0	82.11	230000.0	14.0	2021-09-11_00-08-49		72.0
1.0	3.0	0.0	80.0	300000.0	23.0	2021-09-11_00-07-56		72.0
1.0	3.0	1.0	78.16	300000.0	24.0	2021-09-11_00-07-59		72.0
1.0	5.0	0.0	81.415	300000.0	0.0	2021-09-11_00-08-01		72.0
1.0	5.0	1.0	77.775	300000.0	1.0	2021-09-11_00-08-03		72.0
1.0	5.0	0.0	82.27	300000.0	4.0	2021-09-11_00-08-10		72.0
1.0	5.0	0.0	82.535	290000.0	6.0	2021-09-11_00-08-20		72.0
1.0	5.0	1.0	78.22	300000.0	3.0	2021-09-11_00-08-07		72.0
1.0	5.0	0.0	125.83	300000.0	2.0	2021-09-11_00-08-05		72.0
1.0	5.0	0.0	85.05	300000.0	8.0	2021-09-11_00-08-23		72.0
1.0	5.0	0.0	103.26	300000.0	9.0	2021-09-11_00-08-24		72.0
1.0	5.0	0.0	81.725	300000.0	7.0	2021-09-11_00-08-22		72.0
1.0	5.0	0.0	79.795	260000.0	23.0	2021-09-11_00-09-36		72.0
1.0	5.0	0.0	81.215	300000.0	12.0	2021-09-11_00-08-31		72.0
1.0	5.0	0.0	81.045	300000.0	16.0	2021-09-11_00-08-54		72.0
1.0	5.0	0.0	83.745	300000.0	15.0	2021-09-11_00-08-53		72.0
1.0	5.0	0.0	115.91	300000.0	17.0	2021-09-11_00-08-57		72.0
1.0	5.0	0.0	86.39	300000.0	18.0	2021-09-11_00-09-01		72.0
1.0	5.0	0.0	124.61	300000.0	19.0	2021-09-11_00-09-02		72.0
1.0	5.0	0.0	81.695	300000.0	20.0	2021-09-11_00-09-08		72.0
1.0	5.0	0.0	86.79	300000.0	21.0	2021-09-11_00-09-24		72.0
1.0	5.0	0.0	331.895	300000.0	13.0	2021-09-11_00-08-42		72.0
1.0	5.0	0.0	102.775	300000.0	22.0	2021-09-11_00-09-34		72.0
1.0	5.0	0.0	87.34	300000.0	24.0	2021-09-11_00-09-57		72.0
1.0	7.0	0.0	85.73	240000.0	11.0	2021-09-11_00-11-27		72.0
1.0	5.0	0.0	533.41	300000.0	11.0	2021-09-11_00-08-29		72.0
1.0	7.0	0.0	130.785	300000.0	0.0	2021-09-11_00-10-09		72.0
1.0	7.0	0.0	102.41	300000.0	2.0	2021-09-11_00-10-31		72.0
1.0	7.0	0.0	94.805	300000.0	1.0	2021-09-11_00-10-25		72.0
1.0	7.0	0.0	118.085	300000.0	4.0	2021-09-11_00-11-09		72.0
1.0	7.0	0.0	84.505	300000.0	7.0	2021-09-11_00-11-14		72.0
1.0	7.0	0.0	88.895	300000.0	6.0	2021-09-11_00-11-11		72.0
1.0	7.0	0.0	101.57	300000.0	8.0	2021-09-11_00-11-17		72.0
1.0	7.0	0.0	89.025	300000.0	10.0	2021-09-11_00-11-26		72.0
1.0	7.0	0.0	91.015	300000.0	13.0	2021-09-11_00-11-37		72.0
1.0	7.0	0.0	79.965	300000.0	14.0	2021-09-11_00-11-38		72.0
1.0	7.0	0.0	83.925	300000.0	15.0	2021-09-11_00-11-39		72.0
1.0	7.0	0.0	146.465	300000.0	12.0	2021-09-11_00-11-29		72.0
1.0	7.0	0.0	81.61	300000.0	17.0	2021-09-11_00-11-48		72.0
1.0	7.0	0.0	95.96	300000.0	19.0	2021-09-11_00-11-51		72.0
1.0	7.0	0.0	82.265	300000.0	18.0	2021-09-11_00-11-50		72.0
1.0	7.0	0.0	89.065	300000.0	20.0	2021-09-11_00-11-56		72.0
1.0	7.0	0.0	359.505	300000.0	3.0	2021-09-11_00-11-01		72.0
1.0	7.0	0.0	340.79	300000.0	9.0	2021-09-11_00-11-21		72.0
1.0	7.0	0.0	500.43	300000.0	5.0	2021-09-11_00-11-10		72.0
1.0	7.0	0.0	756.2	300000.0	16.0	2021-09-11_00-11-45		72.0
1.0	7.0	0.0	140.78	300000.0	22.0	2021-09-11_00-14-52		72.0
1.0	7.0	0.0	169.335	300000.0	21.0	2021-09-11_00-14-51		72.0
1.0	7.0	0.0	156.31	300000.0	23.0	2021-09-11_00-15-12		72.0
1.0	7.0	0.0	82.29	300000.0	24.0	2021-09-11_00-15-54		72.0
1.0	9.0	0.0	158.665	300000.0	0.0	2021-09-11_00-15-59		72.0
1.0	9.0	0.0	118.555	300000.0	3.0	2021-09-11_00-16-10		72.0
1.0	9.0	0.0	115.76	300000.0	5.0	2021-09-11_00-16-17		72.0
1.0	9.0	0.0	107.655	300000.0	6.0	2021-09-11_00-16-22		72.0
1.0	9.0	1.0	76.845	300000.0	8.0	2021-09-11_00-16-30		72.0
1.0	9.0	0.0	122.465	300000.0	2.0	2021-09-11_00-16-09		72.0
1.0	9.0	0.0	123.845	300000.0	9.0	2021-09-11_00-16-31		72.0
1.0	9.0	0.0	277.17	300000.0	1.0	2021-09-11_00-16-07		72.0
1.0	9.0	0.0	98.835	300000.0	10.0	2021-09-11_00-16-41		72.0
1.0	9.0	0.0	87.72	300000.0	12.0	2021-09-11_00-16-54		72.0
1.0	9.0	0.0	86.935	300000.0	11.0	2021-09-11_00-16-42		72.0
1.0	9.0	0.0	102.295	300000.0	14.0	2021-09-11_00-17-04		72.0
1.0	9.0	1.0	77.735	300000.0	15.0	2021-09-11_00-17-10		72.0
1.0	9.0	0.0	87.155	300000.0	16.0	2021-09-11_00-17-13		72.0
1.0	9.0	0.0	271.19	300000.0	7.0	2021-09-11_00-16-28		72.0
1.0	9.0	0.0	82.57	270000.0	22.0	2021-09-11_00-18-08		72.0
1.0	9.0	0.0	82.485	300000.0	18.0	2021-09-11_00-17-28		72.0
1.0	9.0	0.0	82.905	300000.0	17.0	2021-09-11_00-17-22		72.0
1.0	9.0	0.0	95.5	300000.0	19.0	2021-09-11_00-17-39		72.0
1.0	9.0	0.0	82.63	300000.0	21.0	2021-09-11_00-17-54		72.0
1.0	9.0	0.0	104.52	300000.0	20.0	2021-09-11_00-17-41		72.0
1.0	9.0	0.0	769.065	300000.0	4.0	2021-09-11_00-16-11		72.0
1.0	9.0	0.0	86.035	300000.0	24.0	2021-09-11_00-18-29		72.0
1.0	9.0	0.0	547.935	300000.0	13.0	2021-09-11_00-17-01		72.0
1.0	11.0	0.0	88.185	300000.0	1.0	2021-09-11_00-18-39		72.0
1.0	9.0	0.0	139.32	300000.0	23.0	2021-09-11_00-18-20		72.0
1.0	11.0	0.0	114.89	300000.0	0.0	2021-09-11_00-18-36		72.0
1.0	11.0	0.0	89.115	300000.0	4.0	2021-09-11_00-19-22		72.0
1.0	11.0	0.0	95.48	300000.0	5.0	2021-09-11_00-19-30		72.0
1.0	11.0	0.0	82.975	300000.0	6.0	2021-09-11_00-19-34		72.0
1.0	11.0	0.0	93.545	300000.0	9.0	2021-09-11_00-19-41		72.0
1.0	11.0	0.0	100.6	300000.0	10.0	2021-09-11_00-19-42		72.0
1.0	11.0	0.0	128.99	300000.0	8.0	2021-09-11_00-19-40		72.0
1.0	11.0	0.0	82.18	300000.0	12.0	2021-09-11_00-19-55		72.0
1.0	11.0	0.0	83.915	300000.0	13.0	2021-09-11_00-19-59		72.0
1.0	11.0	0.0	253.53	300000.0	2.0	2021-09-11_00-19-18		72.0
