view_radius	expert_view_radius	reached_near_optimal	avg_ep_length	train_steps	seed	start_time_str	lr	optimal
1.0	1.0	0.0	115.04	300000.0	0.0	2021-09-11_05-01-01		72.0
1.0	1.0	0.0	88.755	300000.0	15.0	2021-09-11_05-01-08		72.0
1.0	1.0	0.0	112.315	300000.0	21.0	2021-09-11_05-01-09		72.0
1.0	1.0	0.0	141.63	300000.0	10.0	2021-09-11_05-01-07		72.0
1.0	1.0	0.0	135.995	300000.0	3.0	2021-09-11_05-01-03		72.0
1.0	1.0	0.0	95.515	300000.0	6.0	2021-09-11_05-01-20		72.0
1.0	3.0	0.0	103.16	300000.0	2.0	2021-09-11_05-01-16		72.0
1.0	1.0	0.0	133.13	300000.0	9.0	2021-09-11_05-01-19		72.0
1.0	1.0	0.0	103.16	300000.0	2.0	2021-09-11_05-01-24		72.0
1.0	3.0	0.0	95.95	300000.0	20.0	2021-09-11_05-01-21		72.0
1.0	3.0	0.0	95.515	300000.0	6.0	2021-09-11_05-01-22		72.0
1.0	1.0	0.0	95.95	300000.0	20.0	2021-09-11_05-01-27		72.0
1.0	1.0	0.0	114.265	300000.0	22.0	2021-09-11_05-01-34		72.0
1.0	3.0	0.0	88.755	300000.0	15.0	2021-09-11_05-01-36		72.0
1.0	3.0	0.0	114.265	300000.0	22.0	2021-09-11_05-01-37		72.0
1.0	3.0	0.0	133.13	300000.0	9.0	2021-09-11_05-01-44		72.0
1.0	1.0	0.0	205.66	300000.0	7.0	2021-09-11_05-01-04		72.0
1.0	3.0	0.0	115.04	300000.0	0.0	2021-09-11_05-01-35		72.0
1.0	3.0	0.0	135.995	300000.0	3.0	2021-09-11_05-01-30		72.0
1.0	1.0	0.0	176.98	300000.0	23.0	2021-09-11_05-01-11		72.0
1.0	3.0	0.0	112.315	300000.0	21.0	2021-09-11_05-01-47		72.0
1.0	3.0	0.0	205.66	300000.0	7.0	2021-09-11_05-01-12		72.0
1.0	3.0	0.0	141.63	300000.0	10.0	2021-09-11_05-01-48		72.0
1.0	3.0	0.0	148.27	300000.0	18.0	2021-09-11_05-01-39		72.0
1.0	1.0	0.0	148.27	300000.0	18.0	2021-09-11_05-01-40		72.0
1.0	1.0	0.0	287.29	300000.0	5.0	2021-09-11_05-01-15		72.0
1.0	3.0	0.0	270.855	300000.0	4.0	2021-09-11_05-01-28		72.0
1.0	1.0	0.0	374.36	300000.0	1.0	2021-09-11_05-01-02		72.0
1.0	3.0	0.0	287.29	300000.0	5.0	2021-09-11_05-01-23		72.0
1.0	1.0	0.0	351.65	300000.0	12.0	2021-09-11_05-01-17		72.0
1.0	1.0	0.0	270.855	300000.0	4.0	2021-09-11_05-01-41		72.0
1.0	1.0	0.0	510.35	300000.0	8.0	2021-09-11_05-01-05		72.0
1.0	3.0	0.0	374.36	300000.0	1.0	2021-09-11_05-01-26		72.0
1.0	3.0	0.0	351.65	300000.0	12.0	2021-09-11_05-01-33		72.0
