env	exp_type	config_kwargs_str	success	reached_near_optimal	avg_ep_length	train_steps	found_goal	max_comb_correct	seed	extra_tag	lr	reward
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.17447659873389385,""TF_RATIO"":0.201727977361022}"	[0.0, 0.0, 0.0, 0.0, 0.0]		[900.0, 900.0, 900.0, 900.0, 900.0]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			24	BCTeacherForcingThenPPO__bc_0.201727977361022__lr_0.17447659873389385	0.17447659873389385	[0.0, 0.0, 0.0, 0.0, 0.0]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.3815667517472072,""TF_RATIO"":0.1522292035095025}"	[0.0, 0.0, 0.0, 0.0, 0.0]		[900.0, 900.0, 900.0, 900.0, 900.0]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			21	BCTeacherForcingThenPPO__bc_0.1522292035095025__lr_0.3815667517472072	0.3815667517472072	[0.0, 0.0, 0.0, 0.0, 0.0]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.04618050679297643,""TF_RATIO"":0.12074098546231307}"	[0.055, 0.0, 0.0, 0.001, 0.0]		[878.832, 900.0, 900.0, 899.259, 900.0]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			1	BCTeacherForcingThenPPO__bc_0.12074098546231307__lr_0.04618050679297643	0.04618050679297643	[0.026667999999999994, 0.0, 0.0, 0.000841, 0.0]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.03638149897266956,""TF_RATIO"":0.17722473252849005}"	[0.025, 0.0, 0.0, 0.0, 0.0]		[887.36, 900.0, 900.0, 900.0, 900.0]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			23	BCTeacherForcingThenPPO__bc_0.17722473252849005__lr_0.03638149897266956	0.03638149897266956	[0.015139999999999997, 0.0, 0.0, 0.0, 0.0]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.0004248128330921895,""TF_RATIO"":0.27624496565644774}"	[0.308, 0.322, 0.29, 0.296, 0.283]		[768.697, 772.362, 796.697, 796.003, 797.318]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			28	BCTeacherForcingThenPPO__bc_0.27624496565644774__lr_0.0004248128330921895	0.0004248128330921895	[0.16210300000000005, 0.1598379999999999, 0.13230299999999992, 0.133597, 0.13098199999999988]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.00020633646550115916,""TF_RATIO"":0.2808096004833887}"	[0.309, 0.286, 0.328, 0.347, 0.354]		[770.601, 776.923, 777.832, 756.589, 763.713]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			26	BCTeacherForcingThenPPO__bc_0.2808096004833887__lr_0.00020633646550115916	0.0002063364655011592	[0.16029899999999989, 0.15167700000000023, 0.15496800000000013, 0.1781110000000002, 0.17168699999999998]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.00013946411385713396,""TF_RATIO"":0.1855565474479864}"	[0.291, 0.311, 0.324, 0.328, 0.323]		[779.846, 775.728, 775.33, 772.808, 773.828]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			27	BCTeacherForcingThenPPO__bc_0.1855565474479864__lr_0.00013946411385713396	0.00013946411385713396	[0.14925399999999991, 0.1553719999999999, 0.1570699999999999, 0.15999199999999997, 0.15847199999999997]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.0014692065471118415,""TF_RATIO"":0.4095141208948475}"	[0.327, 0.235, 0.252, 0.36, 0.363]		[764.707, 799.918, 791.453, 756.302, 746.667]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			35	BCTeacherForcingThenPPO__bc_0.4095141208948475__lr_0.0014692065471118415	0.0014692065471118413	[0.16799300000000003, 0.12358200000000001, 0.133747, 0.17969799999999994, 0.18963299999999986]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.0036113075303941347,""TF_RATIO"":0.26139458101197227}"	[0.324, 0.296, 0.327, 0.35, 0.322]		[767.092, 778.368, 775.257, 766.725, 766.907]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			31	BCTeacherForcingThenPPO__bc_0.26139458101197227__lr_0.0036113075303941347	0.003611307530394135	[0.16530800000000004, 0.1512320000000001, 0.15744300000000014, 0.16827499999999979, 0.16529300000000005]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.003487802515319415,""TF_RATIO"":0.44879592171360305}"	[0.314, 0.313, 0.362, 0.37, 0.325]		[777.081, 768.257, 759.691, 747.211, 773.511]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			0	BCTeacherForcingThenPPO__bc_0.44879592171360305__lr_0.003487802515319415	0.0034878025153194147	[0.15431899999999993, 0.1630430000000002, 0.1765090000000001, 0.189789, 0.1589889999999999]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.009379126566246234,""TF_RATIO"":0.4864558684414013}"	[0.321, 0.303, 0.296, 0.313, 0.287]		[767.745, 772.408, 775.914, 766.987, 777.971]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			33	BCTeacherForcingThenPPO__bc_0.4864558684414013__lr_0.009379126566246234	0.009379126566246234	[0.16435500000000006, 0.15789199999999995, 0.153686, 0.16431300000000001, 0.15072899999999992]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.12225181771410315,""TF_RATIO"":0.5640033431022453}"	[0.297, 0.306, 0.039, 0.193, 0.207]		[784.106, 767.225, 885.453, 811.077, 800.867]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			37	BCTeacherForcingThenPPO__bc_0.5640033431022453__lr_0.12225181771410315	0.12225181771410315	[0.1455940000000001, 0.16337500000000008, 0.018446999999999998, 0.10822299999999994, 0.11983299999999995]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.00021956225993747443,""TF_RATIO"":0.36426785680309937}"	[0.307, 0.31, 0.326, 0.319, 0.295]		[769.147, 776.847, 781.947, 779.746, 791.1]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			5	BCTeacherForcingThenPPO__bc_0.36426785680309937__lr_0.00021956225993747443	0.00021956225993747443	[0.16155299999999986, 0.15415299999999993, 0.1506529999999999, 0.15215399999999998, 0.13839999999999986]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.00033058799222050137,""TF_RATIO"":0.7772491882859744}"	[0.309, 0.321, 0.306, 0.361, 0.353]		[765.896, 765.041, 768.693, 749.657, 760.353]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			18	BCTeacherForcingThenPPO__bc_0.7772491882859744__lr_0.00033058799222050137	0.00033058799222050137	[0.16500399999999998, 0.16705899999999996, 0.1619069999999999, 0.1864430000000001, 0.17494700000000005]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.0005404698425368999,""TF_RATIO"":0.1637163816072488}"	[0.33, 0.182, 0.274, 0.294, 0.301]		[764.314, 843.602, 806.0, 792.658, 793.331]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			19	BCTeacherForcingThenPPO__bc_0.1637163816072488__lr_0.0005404698425368999	0.0005404698425368999	[0.16868600000000003, 0.07459800000000003, 0.1214, 0.1367420000000001, 0.13676900000000006]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.03424572606200237,""TF_RATIO"":0.5233136754216313}"	[0.317, 0.314, 0.327, 0.291, 0.31]		[768.918, 760.567, 762.548, 791.131, 781.183]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			11	BCTeacherForcingThenPPO__bc_0.5233136754216313__lr_0.03424572606200237	0.034245726062002366	[0.162782, 0.17083300000000015, 0.1701519999999999, 0.1379689999999999, 0.14981699999999995]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.00010009746270561354,""TF_RATIO"":0.5397299823029673}"	[0.306, 0.303, 0.331, 0.341, 0.348]		[773.24, 767.914, 773.523, 770.402, 770.82]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			2	BCTeacherForcingThenPPO__bc_0.5397299823029673__lr_0.00010009746270561354	0.00010009746270561354	[0.15735999999999997, 0.16238599999999975, 0.1595769999999999, 0.16369800000000012, 0.16398]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.03624371370549173,""TF_RATIO"":0.5041893760148394}"	[0.313, 0.308, 0.182, 0.271, 0.263]		[760.824, 767.061, 823.993, 783.944, 786.563]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			34	BCTeacherForcingThenPPO__bc_0.5041893760148394__lr_0.03624371370549173	0.03624371370549173	[0.1704759999999999, 0.16373900000000013, 0.09420700000000008, 0.14315600000000003, 0.13973699999999997]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.0013131644515319652,""TF_RATIO"":0.44825791409462157}"	[0.308, 0.239, 0.289, 0.319, 0.312]		[764.775, 826.406, 791.572, 784.055, 781.839]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			3	BCTeacherForcingThenPPO__bc_0.44825791409462157__lr_0.0013131644515319652	0.0013131644515319652	[0.1660250000000001, 0.09749399999999991, 0.13732799999999995, 0.1478450000000001, 0.14936100000000005]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.17710172027263607,""TF_RATIO"":0.37986102800263943}"	[0.345, 0.011, 0.015, 0.096, 0.093]		[760.203, 894.706, 890.875, 863.423, 862.886]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			29	BCTeacherForcingThenPPO__bc_0.37986102800263943__lr_0.17710172027263607	0.17710172027263607	[0.17429700000000015, 0.0063939999999999995, 0.010625, 0.04617700000000002, 0.04641399999999999]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.011656734829812278,""TF_RATIO"":0.4953894699055422}"	[0.33, 0.333, 0.317, 0.273, 0.283]		[764.884, 763.842, 778.712, 794.612, 787.94]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			17	BCTeacherForcingThenPPO__bc_0.4953894699055422__lr_0.011656734829812278	0.011656734829812278	[0.1681159999999999, 0.16945800000000008, 0.15298799999999993, 0.132688, 0.14036000000000004]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.05853859759027267,""TF_RATIO"":0.5000066889361734}"	[0.319, 0.322, 0.043, 0.214, 0.233]		[763.263, 763.649, 879.732, 806.536, 801.187]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			41	BCTeacherForcingThenPPO__bc_0.5000066889361734__lr_0.05853859759027267	0.058538597590272676	[0.16863699999999998, 0.16855099999999998, 0.024568000000000006, 0.11486400000000002, 0.12211299999999992]
AskForHelpSimpleCrossing	bc_teacher_forcing_then_ppo	"{""LR"":0.0014432668403580539,""TF_RATIO"":0.44249786207791153}"	[0.331, 0.135, 0.342, 0.334, 0.318]		[764.017, 843.824, 769.201, 766.044, 776.278]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			22	BCTeacherForcingThenPPO__bc_0.44249786207791153__lr_0.0014432668403580539	0.0014432668403580539	[0.16908300000000004, 0.06967600000000002, 0.1649990000000001, 0.16735600000000003, 0.15552200000000016]
