env	exp_type	config_kwargs_str	success	reached_near_optimal	avg_ep_length	train_steps	found_goal	max_comb_correct	seed	extra_tag	lr	reward
CrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.03020224380390004,""TF_RATIO"":0.7282681182533388}"	[0.0, 0.0, 0.0, 0.0, 0.0]		[9.532, 9.634, 9.383, 35.624, 35.842]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			15	BCTeacherForcingThenPPO__bc_0.7282681182533388__lr_0.03020224380390004	0.0302022438039	[0.0, 0.0, 0.0, 0.0, 0.0]
CrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.00010009746270561354,""TF_RATIO"":0.5397299823029673}"	[0.236, 0.422, 0.596, 0.71, 0.726]		[49.682, 57.239, 74.585, 95.455, 101.107]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			2	BCTeacherForcingThenPPO__bc_0.5397299823029673__lr_0.00010009746270561354	0.0001000974627056	[0.23040199999999986, 0.41160896000000147, 0.5784788000000011, 0.6844227200000005, 0.6986594400000011]
CrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.0003490162420887714,""TF_RATIO"":0.4362942416699912}"	[0.733, 0.858, 0.94, 0.971, 0.978]		[122.169, 161.086, 126.001, 101.287, 105.467]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			4	BCTeacherForcingThenPPO__bc_0.4362942416699912__lr_0.0003490162420887714	0.0003490162420887	[0.7010611600000002, 0.8084452800000008, 0.8975520399999996, 0.9354856399999986, 0.9415406399999987]
CrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.00012627165880121756,""TF_RATIO"":0.24755189251753223}"	[0.291, 0.181, 0.119, 0.149, 0.151]		[53.34, 234.585, 176.541, 221.535, 214.159]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			14	BCTeacherForcingThenPPO__bc_0.24755189251753223__lr_0.00012627165880121756	0.0001262716588012	[0.2837514000000002, 0.16445152000000005, 0.10885988000000003, 0.13128908000000006, 0.13656435999999997]
CrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.0029351546310813444,""TF_RATIO"":0.3397237389396185}"	[0.79, 0.889, 0.936, 0.957, 0.951]		[113.101, 220.525, 147.201, 139.404, 144.448]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			8	BCTeacherForcingThenPPO__bc_0.3397237389396185__lr_0.0029351546310813444	0.0029351546310813	[0.7575107199999996, 0.8250506799999994, 0.8876649600000006, 0.9108195599999989, 0.9026170799999993]
CrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.03424572606200237,""TF_RATIO"":0.5233136754216313}"	[0.0, 0.0, 0.0, 0.0, 0.0]		[10.315, 8.926, 16.019, 19.548, 17.152]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			11	BCTeacherForcingThenPPO__bc_0.5233136754216313__lr_0.03424572606200237	0.0342457260620023	[0.0, 0.0, 0.0, 0.0, 0.0]
CrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.0005705093140983811,""TF_RATIO"":0.20766395627594686}"	[0.46, 0.032, 0.005, 0.005, 0.004]		[131.096, 372.96, 380.23, 290.814, 292.82]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			12	BCTeacherForcingThenPPO__bc_0.20766395627594686__lr_0.0005705093140983811	0.0005705093140983	[0.4374866800000003, 0.026924359999999998, 0.00435524, 0.003983, 0.00334408]
CrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.17706391294810855,""TF_RATIO"":0.5108624970125971}"	[0.0, 0.0, 0.0, 0.0, 0.0]		[8.294, 9.741, 156.019, 47.648, 37.568]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			13	BCTeacherForcingThenPPO__bc_0.5108624970125971__lr_0.17706391294810855	0.1770639129481085	[0.0, 0.0, 0.0, 0.0, 0.0]
CrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.00021956225993747443,""TF_RATIO"":0.36426785680309937}"	[0.512, 0.794, 0.928, 0.941, 0.945]		[60.733, 136.966, 111.759, 101.161, 100.923]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			5	BCTeacherForcingThenPPO__bc_0.36426785680309937__lr_0.00021956225993747443	0.0002195622599374	[0.49926788000000255, 0.7557050000000005, 0.8913087999999975, 0.9069900799999978, 0.9111470399999975]
CrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.0004886196574291697,""TF_RATIO"":0.263718907230274}"	[0.69, 0.911, 0.944, 0.977, 0.966]		[102.969, 160.874, 126.67, 115.985, 118.263]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			6	BCTeacherForcingThenPPO__bc_0.263718907230274__lr_0.0004886196574291697	0.0004886196574291	[0.6674863200000005, 0.8609769199999993, 0.9012852799999991, 0.9361777999999975, 0.9251871599999986]
CrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.001897661575797455,""TF_RATIO"":0.595416773080531}"	[0.752, 0.845, 0.946, 0.97, 0.974]		[96.653, 104.435, 131.018, 113.306, 113.806]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			7	BCTeacherForcingThenPPO__bc_0.595416773080531__lr_0.001897661575797455	0.0018976615757974	[0.7252347200000001, 0.8143805599999994, 0.9021599199999996, 0.9313172799999978, 0.9346303999999984]
CrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.003487802515319415,""TF_RATIO"":0.44879592171360305}"	[0.76, 0.901, 0.952, 0.97, 0.969]		[100.941, 145.457, 130.436, 117.04, 116.037]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			0	BCTeacherForcingThenPPO__bc_0.44879592171360305__lr_0.003487802515319415	0.0034878025153194	[0.7340861200000007, 0.8579731599999999, 0.9107803599999992, 0.9299064399999981, 0.9287883599999989]
CrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.0013131644515319652,""TF_RATIO"":0.44825791409462157}"	[0.697, 0.903, 0.972, 0.978, 0.981]		[236.39, 134.216, 114.966, 102.26, 104.519]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			3	BCTeacherForcingThenPPO__bc_0.44825791409462157__lr_0.0013131644515319652	0.0013131644515319	[0.6627701200000009, 0.8610895199999986, 0.9336027599999962, 0.9427505999999966, 0.9452271599999966]
CrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.003552940501682493,""TF_RATIO"":0.596907066215436}"	[0.722, 0.899, 0.969, 0.969, 0.964]		[147.875, 136.672, 145.584, 124.949, 118.986]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			10	BCTeacherForcingThenPPO__bc_0.596907066215436__lr_0.003552940501682493	0.0035529405016824	[0.6867696799999995, 0.8594730799999993, 0.9193297199999995, 0.9272763599999988, 0.924846039999997]
CrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.011656734829812278,""TF_RATIO"":0.4953894699055422}"	[0.0, 0.0, 0.0, 0.0, 0.0]		[10.207, 10.361, 17.373, 22.165, 21.939]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			17	BCTeacherForcingThenPPO__bc_0.4953894699055422__lr_0.011656734829812278	0.0116567348298122	[0.0, 0.0, 0.0, 0.0, 0.0]
CrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.009841627810516364,""TF_RATIO"":0.3134618200822933}"	[0.845, 0.839, 0.52, 0.513, 0.517]		[172.92, 448.861, 884.394, 999.963, 1028.537]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			9	BCTeacherForcingThenPPO__bc_0.3134618200822933__lr_0.009841627810516364	0.0098416278105163	[0.7959773599999986, 0.7328676799999986, 0.41755408000000005, 0.4017754800000004, 0.4039348000000001]
CrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.0034962135096142087,""TF_RATIO"":0.7831802341115911}"	[0.704, 0.854, 0.841, 0.956, 0.956]		[111.308, 113.336, 106.966, 111.511, 108.028]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			16	BCTeacherForcingThenPPO__bc_0.7831802341115911__lr_0.0034962135096142087	0.0034962135096142	[0.6758267600000001, 0.8203821199999995, 0.8104745199999994, 0.9196245199999992, 0.9197890399999977]
CrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.00033058799222050137,""TF_RATIO"":0.7772491882859744}"	[0.598, 0.735, 0.771, 0.865, 0.871]		[78.585, 81.015, 90.887, 88.774, 87.701]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			18	BCTeacherForcingThenPPO__bc_0.7772491882859744__lr_0.00033058799222050137	0.0003305879922205	[0.5798113600000019, 0.7124283600000011, 0.7477443599999978, 0.8371622799999995, 0.8432871999999979]
