env	exp_type	config_kwargs_str	success	reached_near_optimal	avg_ep_length	train_steps	found_goal	max_comb_correct	seed	extra_tag	lr	chose_door_0	chose_door_1	chose_door_2	chose_door_3	chose_good_door	chose_no_door	opened_lock	reward
PoisonedDoors	bc_teacher_forcing_then_ppo	"{""LR"":0.003552940501682493,""TF_RATIO"":0.596907066215436}"	[0.303, 0.321, 0.357, 0.338]		[1.0, 1.0, 1.0, 1.0]	[76000.0, 152000.0, 228000.0, 302000.0]			10	BCTeacherForcingThenPPO__bc_0.596907066215436__lr_0.003552940501682493	0.0035529405016824	[0.0, 0.0, 0.0, 0.0]	[0.331, 0.366, 0.507, 0.386]	[0.315, 0.283, 0.234, 0.292]	[0.354, 0.351, 0.259, 0.322]	[0.303, 0.321, 0.357, 0.338]	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	[-0.788, -0.716, -0.572, -0.648]
PoisonedDoors	bc_teacher_forcing_then_ppo	"{""LR"":0.0013131644515319652,""TF_RATIO"":0.44825791409462157}"	[0.313, 0.329, 0.346, 0.331]		[1.0, 1.0, 1.0, 1.0]	[76000.0, 152000.0, 228000.0, 302000.0]			3	BCTeacherForcingThenPPO__bc_0.44825791409462157__lr_0.0013131644515319652	0.0013131644515319	[0.0, 0.0, 0.0, 0.0]	[0.361, 0.34, 0.32, 0.291]	[0.307, 0.288, 0.302, 0.283]	[0.332, 0.372, 0.378, 0.426]	[0.313, 0.329, 0.346, 0.331]	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	[-0.748, -0.684, -0.616, -0.676]
PoisonedDoors	bc_teacher_forcing_then_ppo	"{""LR"":0.00010009746270561354,""TF_RATIO"":0.5397299823029673}"	[0.297, 0.328, 0.335, 0.33]		[1.006, 1.003, 1.002, 1.005]	[76000.0, 152000.0, 228000.0, 302000.0]		[0.0, 0.0, 0.0, 0.0]	2	BCTeacherForcingThenPPO__bc_0.5397299823029673__lr_0.00010009746270561354	0.0001000974627056	[0.001, 0.002, 0.001, 0.002]	[0.308, 0.347, 0.397, 0.403]	[0.319, 0.33, 0.28, 0.277]	[0.372, 0.321, 0.322, 0.318]	[0.297, 0.328, 0.335, 0.33]	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	[-0.81, -0.684, -0.658, -0.676]
PoisonedDoors	bc_teacher_forcing_then_ppo	"{""LR"":0.0003490162420887714,""TF_RATIO"":0.4362942416699912}"	[0.302, 0.334, 0.34, 0.35]		[1.0, 1.0, 1.001, 1.0]	[76000.0, 152000.0, 228000.0, 302000.0]			4	BCTeacherForcingThenPPO__bc_0.4362942416699912__lr_0.0003490162420887714	0.0003490162420887	[0.0, 0.0, 0.001, 0.0]	[0.319, 0.356, 0.322, 0.332]	[0.325, 0.221, 0.234, 0.222]	[0.356, 0.423, 0.443, 0.446]	[0.302, 0.334, 0.34, 0.35]	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	[-0.792, -0.664, -0.638, -0.6]
PoisonedDoors	bc_teacher_forcing_then_ppo	"{""LR"":0.00033058799222050137,""TF_RATIO"":0.7772491882859744}"	[0.304, 0.324, 0.349, 0.34]		[1.0, 1.0, 1.0, 1.0]	[76000.0, 152000.0, 228000.0, 302000.0]			18	BCTeacherForcingThenPPO__bc_0.7772491882859744__lr_0.00033058799222050137	0.0003305879922205	[0.0, 0.0, 0.0, 0.0]	[0.293, 0.349, 0.323, 0.353]	[0.338, 0.331, 0.337, 0.304]	[0.369, 0.32, 0.34, 0.343]	[0.304, 0.324, 0.349, 0.34]	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	[-0.784, -0.704, -0.604, -0.64]
PoisonedDoors	bc_teacher_forcing_then_ppo	"{""LR"":0.00012627165880121756,""TF_RATIO"":0.24755189251753223}"	[0.304, 0.346, 0.352, 0.331]		[1.006, 1.01, 1.009, 1.008]	[76000.0, 152000.0, 228000.0, 302000.0]		[0.5, 0.0, 0.0, 0.0]	14	BCTeacherForcingThenPPO__bc_0.24755189251753223__lr_0.00012627165880121756	0.0001262716588012	[0.002, 0.003, 0.004, 0.002]	[0.291, 0.299, 0.308, 0.342]	[0.343, 0.288, 0.323, 0.32]	[0.364, 0.41, 0.365, 0.336]	[0.304, 0.346, 0.352, 0.331]	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	[-0.78, -0.61, -0.584, -0.672]
PoisonedDoors	bc_teacher_forcing_then_ppo	"{""LR"":0.03424572606200237,""TF_RATIO"":0.5233136754216313}"	[0.305, 0.323, 0.356, 0.337]		[1.0, 1.0, 1.0, 1.0]	[76000.0, 152000.0, 228000.0, 302000.0]			11	BCTeacherForcingThenPPO__bc_0.5233136754216313__lr_0.03424572606200237	0.0342457260620023	[0.0, 0.0, 0.0, 0.0]	[0.304, 0.365, 0.244, 0.206]	[0.391, 0.308, 0.371, 0.432]	[0.305, 0.327, 0.385, 0.362]	[0.305, 0.323, 0.356, 0.337]	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	[-0.78, -0.708, -0.576, -0.652]
PoisonedDoors	bc_teacher_forcing_then_ppo	"{""LR"":0.0004886196574291697,""TF_RATIO"":0.263718907230274}"	[0.308, 0.327, 0.352, 0.355]		[1.0, 1.0, 1.001, 1.0]	[76000.0, 152000.0, 228000.0, 302000.0]			6	BCTeacherForcingThenPPO__bc_0.263718907230274__lr_0.0004886196574291697	0.0004886196574291	[0.0, 0.0, 0.001, 0.0]	[0.282, 0.365, 0.32, 0.331]	[0.333, 0.247, 0.389, 0.366]	[0.385, 0.388, 0.29, 0.303]	[0.308, 0.327, 0.352, 0.355]	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	[-0.768, -0.692, -0.59, -0.58]
PoisonedDoors	bc_teacher_forcing_then_ppo	"{""LR"":0.001897661575797455,""TF_RATIO"":0.595416773080531}"	[0.312, 0.324, 0.353, 0.338]		[1.0, 1.0, 1.0, 1.0]	[76000.0, 152000.0, 228000.0, 302000.0]			7	BCTeacherForcingThenPPO__bc_0.595416773080531__lr_0.001897661575797455	0.0018976615757974	[0.0, 0.0, 0.0, 0.0]	[0.274, 0.344, 0.291, 0.262]	[0.357, 0.31, 0.431, 0.364]	[0.369, 0.346, 0.278, 0.374]	[0.312, 0.324, 0.353, 0.338]	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	[-0.752, -0.704, -0.588, -0.648]
PoisonedDoors	bc_teacher_forcing_then_ppo	"{""LR"":0.00021956225993747443,""TF_RATIO"":0.36426785680309937}"	[0.302, 0.33, 0.325, 0.322]		[1.0, 1.001, 1.003, 1.002]	[76000.0, 152000.0, 228000.0, 302000.0]			5	BCTeacherForcingThenPPO__bc_0.36426785680309937__lr_0.00021956225993747443	0.0002195622599374	[0.0, 0.0, 0.002, 0.001]	[0.314, 0.366, 0.288, 0.3]	[0.333, 0.198, 0.313, 0.358]	[0.353, 0.436, 0.397, 0.341]	[0.302, 0.33, 0.325, 0.322]	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	[-0.792, -0.68, -0.696, -0.71]
