env	exp_type	config_kwargs_str	success	reached_near_optimal	avg_ep_length	train_steps	found_goal	max_comb_correct	seed	extra_tag	lr	reward
WallCrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.00013946411385713396,""TF_RATIO"":0.1855565474479864}"	[0.999, 1.0, 1.0, 1.0, 1.0]		[183.852, 114.145, 96.86, 90.342, 91.412]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			27	BCTeacherForcingThenPPO__bc_0.1855565474479864__lr_0.00013946411385713396	0.00013946411385713396	[0.9337132799999968, 0.9589077999999966, 0.9651303999999955, 0.9674768799999935, 0.9670916799999947]
WallCrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.0004248128330921895,""TF_RATIO"":0.27624496565644774}"	[0.981, 1.0, 1.0, 1.0, 1.0]		[206.906, 100.229, 79.431, 77.979, 76.51]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			28	BCTeacherForcingThenPPO__bc_0.27624496565644774__lr_0.0004248128330921895	0.0004248128330921895	[0.9236138399999977, 0.9639175599999927, 0.9714048399999903, 0.9719275599999897, 0.9724563999999899]
WallCrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.0004886196574291697,""TF_RATIO"":0.263718907230274}"	[0.998, 1.0, 1.0, 1.0, 1.0]		[156.763, 142.164, 103.459, 94.074, 93.092]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			6	BCTeacherForcingThenPPO__bc_0.263718907230274__lr_0.0004886196574291697	0.0004886196574291697	[0.9433653199999994, 0.9488209599999974, 0.9627547599999947, 0.9661333599999934, 0.9664868799999927]
WallCrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.001897661575797455,""TF_RATIO"":0.595416773080531}"	[0.999, 0.997, 0.999, 1.0, 1.0]		[150.152, 139.481, 127.17, 100.832, 97.333]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			7	BCTeacherForcingThenPPO__bc_0.595416773080531__lr_0.001897661575797455	0.001897661575797455	[0.9458452799999975, 0.9494868399999978, 0.9541187999999974, 0.9637004799999975, 0.9649601199999969]
WallCrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.0005705093140983811,""TF_RATIO"":0.20766395627594686}"	[0.993, 1.0, 1.0, 1.0, 1.0]		[246.772, 151.094, 106.638, 92.619, 89.532]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			12	BCTeacherForcingThenPPO__bc_0.20766395627594686__lr_0.0005705093140983811	0.0005705093140983813	[0.9104620799999993, 0.9456061599999988, 0.9616103199999942, 0.9666571599999915, 0.9677684799999916]
WallCrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.00020633646550115916,""TF_RATIO"":0.2808096004833887}"	[0.971, 1.0, 1.0, 1.0, 1.0]		[249.598, 121.359, 93.976, 87.761, 87.337]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			26	BCTeacherForcingThenPPO__bc_0.2808096004833887__lr_0.00020633646550115916	0.00020633646550115918	[0.9072447199999992, 0.9563107599999965, 0.9661686399999951, 0.9684060399999946, 0.968558679999993]
WallCrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.0003490162420887714,""TF_RATIO"":0.4362942416699912}"	[0.984, 0.997, 1.0, 1.0, 1.0]		[200.202, 143.085, 106.599, 87.082, 86.854]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			4	BCTeacherForcingThenPPO__bc_0.4362942416699912__lr_0.0003490162420887714	0.0003490162420887714	[0.9263272799999986, 0.9481893999999982, 0.9616243599999945, 0.9686504799999921, 0.968732559999992]
WallCrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.0013131644515319652,""TF_RATIO"":0.44825791409462157}"	[0.992, 0.998, 1.0, 1.0, 1.0]		[173.184, 158.194, 141.86, 105.845, 106.547]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			3	BCTeacherForcingThenPPO__bc_0.44825791409462157__lr_0.0013131644515319652	0.0013131644515319652	[0.9368537599999988, 0.9428501599999982, 0.948930399999999, 0.9618957999999969, 0.9616430799999964]
WallCrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.00012627165880121756,""TF_RATIO"":0.24755189251753223}"	[0.988, 0.999, 1.0, 1.0, 1.0]		[246.575, 162.863, 138.699, 118.015, 127.885]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			14	BCTeacherForcingThenPPO__bc_0.24755189251753223__lr_0.00012627165880121756	0.00012627165880121756	[0.9100329999999986, 0.9412693199999976, 0.9500683599999994, 0.9575145999999969, 0.9539613999999971]
WallCrossingS25N10	bc_teacher_forcing_then_ppo	"{""LR"":0.00021956225993747443,""TF_RATIO"":0.36426785680309937}"	[0.963, 0.998, 1.0, 1.0, 1.0]		[281.465, 144.989, 94.426, 92.162, 92.383]	[250000.0, 500000.0, 750000.0, 1000000.0, 1002000.0]			5	BCTeacherForcingThenPPO__bc_0.36426785680309937__lr_0.00021956225993747443	0.00021956225993747443	[0.8949725999999982, 0.9476039599999981, 0.9660066399999947, 0.9668216799999946, 0.9667421199999952]
